NUM TDA,NOMBRE DE TDA,CADENA,FORMATO,MUNICIPIO/CIUDAD,ESTADO,DIVISION,DEPOSITO / DISTRIBUIDOR,ESTRUCTURA,GRADO
2,Bloody Sea Green BookShop,proveedor_1,Shop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
4,Funny Sky Blue GipsyTrade,proveedor_1,Shop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
5,Rare Green Laundrette,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
6,Angry Indigo Center,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
7,Tall Violet Deli,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
8,Awesome Azure Tobacconist,proveedor_1,Shop,Evil Pink Vessel,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
9,Alive Purple Baker,proveedor_1,Shop,Kicking Crimson Key,Coalmar,SURESTE,Arbarrus Gmbh,DISTRIBUIDORES,VI
10,Kicking Khaki HairDresser,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
11,Small Aqua Bank,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
12,Enlightened Chartreuse Center,proveedor_1,Shop,Awesome Blue City,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
13,Impressive Golden Deli,proveedor_1,Shop,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
14,Massive Chartreuse Cafe,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
15,Evil Lemon HairDresser,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
16,Little Blue Market,proveedor_1,Shop,Tall Blue Tree,Coalmar,SURESTE,Gorngornco Ifonforge Industries,DISTRIBUIDORES,VI
17,First Salmon BookShop,proveedor_1,Shop,Bad White Tree,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
18,Singing Black Center,proveedor_1,Shop,Evil White Baton,Alloralf,METRO-NORTE,Emolor Vocals,METRO,IV
19,Interesting Black Grocery,proveedor_1,Shop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
20,Empty Indigo GipsyTrade,proveedor_1,Shop,Dull Sea Green Butter,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
21,Awesome Aqua Leftorium,proveedor_1,Shop,Evil Pink Vessel,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
22,Long Black BigCom,proveedor_1,Shop,Enlightened Silver Castle,Coalmar,SURESTE,Valrodgus Vocals,DISTRIBUIDORES,VI
23,Massive Sea Green BookShop,proveedor_1,Shop,Old Golden Vessel,Lorgornna,SUROESTE,Lorgornlor Vocals,DISTRIBUIDORES,VI
24,Dull Dark TallMarket,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
25,Singing Sea Green TinyShop,proveedor_1,Shop,Bizarre Fuchsia Ship,Eemar,SURESTE,Malormad Corp.,FORANEO,II
26,Funny Khaki GreatShop,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
27,Great Olive HighShop,proveedor_1,Shop,Tall Blue Tree,Coalmar,SURESTE,Gorngornco Ifonforge Industries,DISTRIBUIDORES,VI
28,Little Navy HairDresser,proveedor_1,Shop,Awful Navy Capital,Coalmar,SURESTE,Gorngornco Ifonforge Industries,DISTRIBUIDORES,VI
29,Dangerous Lemon Convenience,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
30,Old Grey TinyShop,proveedor_1,Shop,Rare Turquoise Rock,Rodbare,SUROESTE,Elore Toughworks,DISTRIBUIDORES,VI
31,Awesome Turquoise Fishmonger,proveedor_1,Shop,Old Lime Mud,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
32,Awesome Coral Convenience,proveedor_1,Shop,Horrible Dark Butter,Coalmar,SURESTE,Arbarrus Gmbh,DISTRIBUIDORES,VI
33,Clean Brown Tobacconist,proveedor_1,Shop, Beige Castle,Coalmar,SURESTE,Evitrus Inc.,DISTRIBUIDORES,VI
36,Angry Turquoise Baker,proveedor_1,Shop,Dull Orange Creek,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
37,Kicking Green TallMarket,proveedor_1,Shop,Rare Navy Dirt,Rodbare,SUROESTE,Thoiomad Vocals,DISTRIBUIDORES,VI
38,Old Lavender Mall,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
39,Evil Orange Jeweller,proveedor_1,Shop,Evil Chocolate Rock,Alloralf,METRO-NORTE,Thrilvallor Corp.,METRO,IV
41,Awful Navy Shop,proveedor_1,Shop,Alive Azure Tower,Mobartho,PENÍNSULA,Valarar Toughworks,FORANEO,VI
42,Long Chartreuse GipsyTrade,proveedor_1,Shop,Rare Chocolate Tree,Lorgornna,SURESTE,Thothrilmar Ifonforge Industries,DISTRIBUIDORES,VI
43,Small Silver Cafe,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
44, Sky Blue Bank,proveedor_1,Shop,Awesome Blue City,Thogulgul,SURESTE,Malormad Corp.,FORANEO,II
45,Kicking Lime Fishmonger,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
46,Dull Blue AllInOne,proveedor_1,Shop,Singing Brown Mud,Thrilvallor,CENTRO,Naargul Inc.,DISTRIBUIDORES,IV
47,Impressive Violet BigCenter,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
48,Singing Chartreuse BigCom,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
49,Young Navy Center,proveedor_1,Mall,Angry Indigo Applepie,Thrilvallor,METRO-NORTE,Navallor Inc.,FORANEO,IV
50,New Olive TallMarket,proveedor_1,Shop,Tall Lemon Ship,Mobartho,PENÍNSULA,Gusmorus Inc.,DISTRIBUIDORES,VI
52,Tall Golden Jeweller,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
53,Funny Cyan Chemist,proveedor_1,Shop,Kicking Crimson Key,Coalmar,SURESTE,Arbarrus Gmbh,DISTRIBUIDORES,VI
54,High Chocolate AllInOne,proveedor_1,Shop,Interesting Silver Rock,Thogulgul,METRO-NORTE,Navallor Inc.,METRO,II
55,Kicking Turquoise TinyShop,proveedor_1,Shop,Evil Azure Metropolis,Erodmo,BAJÍO,Rusloralf Inc.,DISTRIBUIDORES,III
56,Clean Lemon AllInOne,proveedor_1,Shop,Singing Grey Empire,Alfrusma,OCCIDENTE,Barthrilal Vocals,FORANEO,III
58, Aquamarine Florist,proveedor_1,Shop,Singing Violet Soil,Mamoval,PENÍNSULA,Rodalgus Toughworks,DISTRIBUIDORES,VI
59,Angry Blue SmallShop,proveedor_1,Shop,Bizarre White Shop,Coalmar,SURESTE,Mogulval Corp.,DISTRIBUIDORES,VI
60,Interesting Purple Mall,proveedor_1,Shop,Horrible Purple Tree,Lorgulgus,CENTRO-SUR,Gorngusco Toughworks,FORANEO,IV
61,Bad Blue BookShop,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
62,Kicking White CoffeShop,proveedor_1,Shop,Last Burgundy Barrier,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
63,Great Olive Jeweller,proveedor_1,Shop,Interesting Silver Rock,Thogulgul,METRO-NORTE,Navallor Inc.,METRO,II
64,Dead Green Fishmonger,proveedor_1,Shop,Awful Navy ,Thrilvallor,SURESTE,Evitrus Inc.,DISTRIBUIDORES,IV
65,Little Olive GreatShop,proveedor_1,Shop,Massive Red Hole,Thogulgul,METRO-NORTE,Navallor Inc.,METRO,II
66,Bad Lime Chemist,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
68,Legendary Indigo Market,proveedor_1,Shop,Legendary Brown Beach,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
69,Massive Maroon SmallShop,proveedor_1,Shop,First Blue Rock,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
70,Old Lavender TinyShop,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
71,Evil Silver GreatShop,proveedor_1,Shop,Legendary Lime Creek,Lorgornna,SURESTE,Thothrilmar Ifonforge Industries,DISTRIBUIDORES,VI
72,Awful Beige Deli,proveedor_1,Shop,Dirty Azure Ship,Rodbare,SUROESTE,Gornmoco Corp.,DISTRIBUIDORES,VI
76,Small Burgundy Market,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
77,Evil Lemon SuperMarket,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Vitena Vocals,FORANEO,IV
79,Young Sea Green BigCom,proveedor_1,Shop,Rare Orange Applepie,Coalmar,SURESTE,Eioval Aerospace,FORANEO,VI
90,Horrible Black Center,proveedor_1,Shop,Last Burgundy Barrier,Mamoval,PENÍNSULA,Alfthrilal Vocals,FORANEO,VI
91,Clean Pink BigCenter,proveedor_1,Shop,Long Chocolate Barrier,Alloralf,CENTRO,Movitalf Empire,DISTRIBUIDORES,IV
92,New Azure TallMarket,proveedor_1,Shop, Purple Creek,Thrilvallor,CENTRO,Rusthomar Empire,FORANEO,IV
93,Clean Turquoise HighShop,proveedor_1,Shop,Great Golden Applepie,Egusco,PENÍNSULA,Valalar Aerospace,FORANEO,VI
95,Horrible Violet Shop,proveedor_1,Shop,First Salmon Rock,Lorvalmo,BAJÍO,Argule Ifonforge Industries,FORANEO,IV
96,Dull Burgundy AllInOne,proveedor_1,Shop,Bloody Beige Tree,Lorvalmo,BAJÍO,Thrilear Industrail,FORANEO,IV
97,Horrible Brown Fishmonger,proveedor_1,Shop,Kicking Red ,Arrodio,SURESTE,Mararna Industrail,DISTRIBUIDORES,VI
98,Bizarre White Stationer,proveedor_1,Shop,Kicking Fuchsia Empire,Magornmar,METRO-NORTE,Emolor Vocals,METRO,V
